SeasonWeek,Date,Away,Home,Location,Time
1,09/10/15,PIT,NE,,8:30 PM EDT
1,09/13/15,SEA,STL,,1:00 PM EDT
1,09/13/15,CAR,JAX,,1:00 PM EDT
1,09/13/15,MIA,WAS,,1:00 PM EDT
1,09/13/15,IND,BUF,,1:00 PM EDT
1,09/13/15,CLE,NYJ,,1:00 PM EDT
1,09/13/15,KC,HOU,,1:00 PM EDT
1,09/13/15,GB,CHI,,1:00 PM EDT
1,09/13/15,DET,SD,,4:05 PM EDT
1,09/13/15,NO,ARI,,4:05 PM EDT
1,09/13/15,BAL,DEN,,4:25 PM EDT
1,09/13/15,CIN,OAK,,4:25 PM EDT
1,09/13/15,TEN,TB,,4:25 PM EDT
1,09/13/15,NYG,DAL,,8:30 PM EDT
1,09/14/15,PHI,ATL,,7:10 PM EDT
1,09/14/15,MIN,SF,,10:20 PM EDT
2,09/17/15,DEN,KC,,8:25 PM EDT
2,09/20/15,STL,WAS,,1:00 PM EDT
2,09/20/15,ATL,NYG,,1:00 PM EDT
2,09/20/15,TEN,CLE,,1:00 PM EDT
2,09/20/15,SD,CIN,,1:00 PM EDT
2,09/20/15,NE,BUF,,1:00 PM EDT
2,09/20/15,ARI,CHI,,1:00 PM EDT
2,09/20/15,DET,MIN,,1:00 PM EDT
2,09/20/15,TB,NO,,1:00 PM EDT
2,09/20/15,SF,PIT,,1:00 PM EDT
2,09/20/15,HOU,CAR,,1:00 PM EDT
2,09/20/15,BAL,OAK,,4:05 PM EDT
2,09/20/15,MIA,JAX,,4:05 PM EDT
2,09/20/15,DAL,PHI,,4:25 PM EDT
2,09/20/15,SEA,GB,,8:30 PM EDT
2,09/21/15,NYJ,IND,,8:30 PM EDT
3,09/24/15,WAS,NYG,,8:25 PM EDT
3,09/27/15,PIT,STL,,1:00 PM EDT
3,09/27/15,SD,MIN,,1:00 PM EDT
3,09/27/15,TB,HOU,,1:00 PM EDT
3,09/27/15,PHI,NYJ,,1:00 PM EDT
3,09/27/15,NO,CAR,,1:00 PM EDT
3,09/27/15,JAX,NE,,1:00 PM EDT
3,09/27/15,CIN,BAL,,1:00 PM EDT
3,09/27/15,OAK,CLE,,1:00 PM EDT
3,09/27/15,IND,TEN,,1:00 PM EDT
3,09/27/15,ATL,DAL,,1:00 PM EDT
3,09/27/15,SF,ARI,,4:05 PM EDT
3,09/27/15,CHI,SEA,,4:25 PM EDT
3,09/27/15,BUF,MIA,,4:25 PM EDT
3,09/27/15,DEN,DET,,8:30 PM EDT
3,09/28/15,KC,GB,,8:30 PM EDT
4,10/01/15,BAL,PIT,,8:25 PM EDT
4,10/04/15,NYJ,MIA,LON,9:30 AM EDT
4,10/04/15,KC,CIN,,1:00 PM EDT
4,10/04/15,HOU,ATL,,1:00 PM EDT
4,10/04/15,OAK,CHI,,1:00 PM EDT
4,10/04/15,PHI,WAS,,1:00 PM EDT
