"Origin","Destination","DriveTime","DriveDistance","FlightDistance"
"IND","MIA",16.761111111111113,1182.931313024,1020.6
"BUF","SEA",37.78916666666667,2594.80801374,2122.0
"CHI","SEA",30.01388888888889,2067.985446471,1720.6
"OAK","STL",29.756666666666668,2055.584124053,1725.4
"IND","MIN",8.848333333333333,592.789176742,502.7
"STL","WSH",12.4875,823.059948777,719.0
"IND","SF",32.85944444444444,2302.118039271,1924.6
"IND","SD",29.58861111111111,2044.907727531,1782.0
"CHI","LON","","",3952.6
"NE","TB",0.5422222222222223,26.013696915,1184.8
"CHI","SD",29.653055555555557,2072.466774123,1723.0
"CIN","HOU",15.958055555555555,1058.486235999,388.2
"BAL","PIT",3.9138888888888888,248.557720565,210.2
"CIN","KC",8.5375,582.39861088,539.4
"CHI","HOU",16.31,1092.821333346,588.6
"KC","NYG",17.69388888888889,1182.503188405,1092.0
"DAL","OAK",24.407777777777778,1703.08470535,1456.6
"SEA","TEN",34.931111111111115,2390.0942309350003,1977.7
"CAR","CLE",7.720277777777778,517.465962751,430.3
"CAR","NE",12.730277777777777,831.1203733890001,727.8
"ATL","NE",16.223055555555554,1069.314868416,946.1
"NO","STL",9.675277777777778,676.515190766,603.5
"CAR","NO",10.196111111111112,713.432705989,651.1
"ATL","NO",6.672777777777778,469.881371571,424.9
"ATL","CLE",10.393888888888888,711.617059927,554.5
"CAR","NYG",9.380277777777778,625.454650212,528.5
"BAL","MIN",16.59027777777778,1112.080727491,936.1
"CAR","NYJ",9.380277777777778,625.454650212,528.5
"BAL","MIA",15.26361111111111,1077.126123257,945.9
"DEN","PHI",25.1625,1730.405766849,1557.6
"DEN","NO",19.251944444444444,1299.455773912,1061.7
"BAL","SF",40.99777777777778,2844.940288419,2438.6
"HOU","KC",11.366111111111111,748.3941453040001,926.3
"ATL","BAL",10.115,676.700359324,576.6
"SF","TB",45.24722222222222,3111.825968,2366.9
"NE","STL",17.50777777777778,1188.158285876,1046.7
"PIT","TEN",8.397777777777778,559.859620597,461.7
"PHI","TEN",11.877222222222223,800.7017774550001,674.9
"LON","PIT","","",3719.8
"ARI","DAL",14.920277777777779,1064.395474209,867.9
"PIT","STL",8.955833333333333,600.427690445,553.7
"BUF","DEN",21.805555555555557,1514.191649576,1359.0
"CIN","LON","","",3962.6
"CLE","NE",9.475833333333334,636.787835881,562.7
"ARI","JAX",28.85611111111111,2060.3096505080002,1786.3
"DEN","GB",15.914444444444445,1099.753969593,905.3
"CLE","NO",15.241944444444444,1054.510704341,917.2
"CLE","NYG",7.005833333333333,460.72360577300003,404.2
"CLE","MIA",17.674722222222222,1232.174964774,1080.1
"BUF","DET",4.4286111111111115,280.428460526,241.0
"CLE","NYJ",7.005833333333333,460.72360577300003,404.2
"JAX","LON","","",4250.3
"ATL","STL",8.023333333333333,551.095182642,484.0
"CLE","SEA",35.04472222222222,2416.018450426,2020.8
"SD","SEA",18.9275,1253.042467067,1050.3
"CHI","SF",30.991666666666667,2160.621920635,1829.4
"NO","OAK",31.864722222222223,2258.715274921,1903.1
"IND","TB",13.666666666666666,889.368933671,837.5
"GB","MIA",22.66583333333333,1578.800563414,1361.3
"GB","MIN",4.185,275.663166327,252.3
"ARI","CIN",26.433333333333334,1853.41920509,1569.0
"JAX","TB",16.371944444444445,1113.271895698,180.8
