Team,StadiumName,StreetAddress,City,State,ZIP,AirportCode
ARI,University of Phoenix,1 Cardinals Drive,Glendale,AZ,85305,PHX
ATL,Georgia Dome,1 Georgia Dome Drive,Atlanta,GA,30313,ATL
BAL,M&T Bank Stadium,1101 Russell Street,Baltimore,MD,21230,BWI
BUF,Ralph Wilson Stadium,1 Bills Drive,Orchard Park,NY,14127,BUF
CAR,Bank of America Stadium,800 South Mint Street,Charlotte,NC,28202,CLT
CHI,Soldier Field,1410 Museum Campus Drive,Chicago,IL,60605,ORD
CIN,Paul Brown Stadium,Six Paul Brown Stadium,Cincinnati,OH,45202,CVG
CLE,FirstEnergy Stadium,100 Alfred Lerner Way,Cleveland,OH,44114,CLE
DAL,AT&T Stadium,One AT&T Way,Arlington,TX,76011,DFW
DEN,Sports Authority Field at Mile High,1701 Bryant Street #700,Denver,CO,80204,DEN
DET,Ford Field,2000 Brush Street,Detroit,MI,48226,DTW
GB,Lambeau Field,1265 Lombardi Avenue,Green Bay,WI,54304,GRB
HOU,NRG Stadium,1 Reliant Parkway,Houston,TX,77054,IAD
IND,Lucas Oil Stadium,500 South Capilto Avenue,Indianapolis,IN,46225,IND
JAX,EverBank Field,One EverBank Field Drive,Jacksonville,FL,32202,JAX
KC,Arrowhead Stadium,1 Arrowhead Drive,Kansas City,MO,64129,MCI
MIA,Sun Life Stadium,347 Don Shula Drive,Miami Gardens,FL,33056,MIA
MIN,TCF Bank Stadium,420 SE 23rd Ave,Minneapolis,MN,55455,MSP
NE,Gilette Stadium,1 Patriot Place,Foxborough,MA,02035,BOS
NO,Mercedes-Benz Superdome,1500 Sugar Bowl Drive,New Orleans,LA,70112,MSY
NYG,MetLife Stadium,1 MetLife Stadium Drive,East Rutherford,NJ,07073,EWR
NYJ,MetLife Stadium,1 MetLife Stadium Drive,East Rutherford,NJ,07073,EWR
OAK,O.co Coliseum,7000 Coliseum Way,Oakland,CA,94621,OAK
PHI,Lincoln Financial Field,One NovaCare Way,Philadelphia,PA,19145,PHL
PIT,Heinz Field,100 Art Rooney Way,Pittsburgh,PA,15212,PIT
SD,Qualcomm Stadium,9449 Friars Road,San Diego,CA,92108,SAN
SF,Levi's Stadium,4900 Marie P. DeBartolo Way,Santa Clara,CA,95054,SJC
SEA,CenturyLink Field,800 Occidental Avenue South,Seattle,WA,98134,SEA
STL,Edward Jones Dome,901 North Broadway,St. Louis,MO,63101,STL
TB,Raymond James Stadium,4201 North Dale Highway,Tampa,FL,33607,TPA
TEN,LP Field,460 Great Circle Rd,Nashville ,TN,37228,BNA
WAS,FedExField,1600 FedEx Way,Landover ,MD,20785,DCA
LON,Wembley Stadium,Wembley,London,UK,HA9 0WS,LHR
